,acc_sleepEfficiency,macrof1_sleepEfficiency,mcc_sleepEfficiency,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.8136160714285714,0.7211734213312719,0.6055497637616224,0.6055497637616224,0.4486903133900686,sleepEfficiency,MyNetCNNLSTM_EFF_mesa_n500,mesa,500
1,0.8080357142857143,0.7183067036953008,0.5846495684540823,0.5846495684540823,0.48763566779411294,sleepEfficiency,MyNetCNNLSTM_EFF_mesa_n500,mesa,500
2,0.8236607142857143,0.7158141192232614,0.605089031303026,0.605089031303026,0.45239297832435316,sleepEfficiency,MyNetCNNLSTM_EFF_mesa_n500,mesa,500
3,0.8225446428571429,0.7039671420000345,0.5914088687946566,0.5914088687946566,0.43537026179081106,sleepEfficiency,MyNetCNNLSTM_EFF_mesa_n500,mesa,500
4,0.8270089285714286,0.7196754363298211,0.614532494186136,0.614532494186136,0.440321957567487,sleepEfficiency,MyNetCNNLSTM_EFF_mesa_n500,mesa,500
5,0.8035714285714286,0.6931276101100162,0.5473060374214147,0.5473060374214147,0.44243967174752086,sleepEfficiency,MyNetCNNLSTM_EFF_mesa_n500,mesa,500
6,0.8069196428571429,0.691910717375506,0.5782608931493409,0.5782608931493409,0.4883215495570719,sleepEfficiency,MyNetCNNLSTM_EFF_mesa_n500,mesa,500
7,0.8158482142857143,0.6881086528904365,0.5693031364377446,0.5693031364377446,0.43102410767153654,sleepEfficiency,MyNetCNNLSTM_EFF_mesa_n500,mesa,500
8,0.8214285714285714,0.6735031819098728,0.6047324866335914,0.6047324866335914,0.47017770626141303,sleepEfficiency,MyNetCNNLSTM_EFF_mesa_n500,mesa,500
9,0.8125,0.6881318415508976,0.5668360668163418,0.5668360668163418,0.4456399651591992,sleepEfficiency,MyNetCNNLSTM_EFF_mesa_n500,mesa,500
