,acc_sleepEfficiency,macrof1_sleepEfficiency,mcc_sleepEfficiency,acc_awakening,macrof1_awakening,mcc_awakening,acc_totalSleepTime,macrof1_totalSleepTime,mcc_totalSleepTime,acc_combined,macrof1_combined,mcc_combined,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.8080357142857143,0.6774678941381586,0.5551382204263159,0.6205357142857143,0.5171466622636952,0.315639651514764,0.6875,0.6740306030232412,0.5385261288542492,0.6997767857142857,0.6844485703092147,0.5122797595714498,0.48039594009169473,0.6546266868807986,all,MyNetLSTM_ALL_mesa_n500,mesa,500
1,0.8158482142857143,0.6911690763663082,0.5742222357762508,0.6383928571428571,0.5481210957663908,0.35368241097479935,0.7176339285714286,0.7067014380423614,0.5790977852318581,0.6997767857142857,0.6649693830112239,0.49725570210930575,0.5010645335230535,0.6383119333857092,all,MyNetLSTM_ALL_mesa_n500,mesa,500
2,0.8147321428571429,0.6859436309694708,0.5736005173881551,0.6261160714285714,0.544754588061004,0.3323049533741881,0.7254464285714286,0.7216033669347995,0.5851364512209973,0.7098214285714286,0.662857560587717,0.510803204890036,0.500461281718344,0.6522711011629525,all,MyNetLSTM_ALL_mesa_n500,mesa,500
3,0.8035714285714286,0.6473005097638937,0.5446581266221896,0.6417410714285714,0.554957881259984,0.3591761175563846,0.6685267857142857,0.6575902292971944,0.502639882698852,0.6986607142857143,0.6776205539947405,0.49525088205255485,0.47543125223249527,0.6538354824413528,all,MyNetLSTM_ALL_mesa_n500,mesa,500
4,0.7979910714285714,0.6496797344910613,0.5236277389694689,0.6439732142857143,0.5659944109525338,0.36184431875423023,0.7131696428571429,0.7107840341371188,0.561401689397684,0.6975446428571429,0.6615354307991884,0.4956913918509357,0.48564128474307966,0.7416131315150353,all,MyNetLSTM_ALL_mesa_n500,mesa,500
5,0.8080357142857143,0.6660459861539274,0.5528959608756253,0.6316964285714286,0.5520005216495157,0.33858337468817806,0.7131696428571429,0.7164693522158038,0.5603865493093314,0.7087053571428571,0.6748715751928752,0.5132778372197461,0.4912859305232202,0.6613072501662965,all,MyNetLSTM_ALL_mesa_n500,mesa,500
6,0.8236607142857143,0.7079784982198135,0.592368237585372,0.6316964285714286,0.550241529177025,0.3375596399834682,0.7008928571428571,0.6892161927514943,0.5538456045278477,0.7120535714285714,0.6877724150095519,0.5189519468465149,0.5006813572358007,0.694814392228472,all,MyNetLSTM_ALL_mesa_n500,mesa,500
7,0.8169642857142857,0.707583860641444,0.5738052453573629,0.6305803571428571,0.5521392930337448,0.3368881543110133,0.7120535714285714,0.704875689563969,0.5653583813022908,0.7131696428571429,0.678402021259164,0.5196190140378374,0.49891769875212605,0.6479641112002605,all,MyNetLSTM_ALL_mesa_n500,mesa,500
8,0.8136160714285714,0.6845246820637726,0.5719321496287397,0.6350446428571429,0.5736741136399189,0.36822642959344143,0.7008928571428571,0.698723180442177,0.5442552792970968,0.703125,0.6848973514408702,0.5097232196694466,0.4985342695471811,0.638862288261122,all,MyNetLSTM_ALL_mesa_n500,mesa,500
9,0.7991071428571429,0.6562445236287165,0.5341167424675084,0.6428571428571429,0.5662679698909993,0.35988230457396025,0.7254464285714286,0.7222619280703318,0.5832590235839754,0.7131696428571429,0.6852242896016203,0.5203340449096647,0.4993980288837772,0.6447395723338929,all,MyNetLSTM_ALL_mesa_n500,mesa,500
