,acc_totalSleepTime,macrof1_totalSleepTime,mcc_totalSleepTime,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.7042410714285714,0.7144607383560313,0.5525802488438395,0.5525802488438395,0.6798637087637589,totalSleepTime,MyNetMPL_TST_mesa_n500,mesa,500
1,0.734375,0.7409113174667953,0.5934459323775338,0.5934459323775338,0.675669101235468,totalSleepTime,MyNetMPL_TST_mesa_n500,mesa,500
2,0.71875,0.729021809527941,0.5727470035878995,0.5727470035878995,1.2964817945204172,totalSleepTime,MyNetMPL_TST_mesa_n500,mesa,500
3,0.7399553571428571,0.7451659969332477,0.6019828431315192,0.6019828431315192,0.6775420327649663,totalSleepTime,MyNetMPL_TST_mesa_n500,mesa,500
4,0.7209821428571429,0.7193683859675303,0.5755679641439746,0.5755679641439746,0.6783841403108237,totalSleepTime,MyNetMPL_TST_mesa_n500,mesa,500
5,0.7064732142857143,0.7110999165140243,0.5515945406226936,0.5515945406226936,0.7412382848721829,totalSleepTime,MyNetMPL_TST_mesa_n500,mesa,500
6,0.7399553571428571,0.7400985141328635,0.6030397332448765,0.6030397332448765,0.700560890071479,totalSleepTime,MyNetMPL_TST_mesa_n500,mesa,500
7,0.7544642857142857,0.7584025830786457,0.6244004858664715,0.6244004858664715,0.6265143480443829,totalSleepTime,MyNetMPL_TST_mesa_n500,mesa,500
8,0.7388392857142857,0.7469611490849949,0.6014603905309851,0.6014603905309851,0.7041431460426036,totalSleepTime,MyNetMPL_TST_mesa_n500,mesa,500
9,0.7410714285714286,0.7474338826489686,0.6075611924126318,0.6075611924126318,0.8724660533647136,totalSleepTime,MyNetMPL_TST_mesa_n500,mesa,500
