,acc_combined,macrof1_combined,mcc_combined,average_global,test_loss,sleep_metrics,expname,dataset,ntrials
0,0.6651785714285714,0.6292456775966818,0.4431169375989737,0.4431169375989737,0.7085655005148006,combined,MyTwoStepsNetMPL_COM_mesa_n500,mesa,500
1,0.6674107142857143,0.6268092315668176,0.4413072232509138,0.4413072232509138,0.6944257616673906,combined,MyTwoStepsNetMPL_COM_mesa_n500,mesa,500
2,0.6863839285714286,0.6336569613796755,0.46785701956050685,0.46785701956050685,0.6812686096464757,combined,MyTwoStepsNetMPL_COM_mesa_n500,mesa,500
3,0.6674107142857143,0.6046334440858798,0.4376495438847437,0.4376495438847437,0.68199303326659,combined,MyTwoStepsNetMPL_COM_mesa_n500,mesa,500
4,0.6696428571428571,0.6441967331415116,0.45512004071415696,0.45512004071415696,0.7008574651026324,combined,MyTwoStepsNetMPL_COM_mesa_n500,mesa,500
5,0.6841517857142857,0.6478814645659717,0.4692157791462902,0.4692157791462902,0.6921838153415921,combined,MyTwoStepsNetMPL_COM_mesa_n500,mesa,500
6,0.6696428571428571,0.6263246918395015,0.44559416995144174,0.44559416995144174,0.6952652701164447,combined,MyTwoStepsNetMPL_COM_mesa_n500,mesa,500
7,0.6629464285714286,0.5826744008855731,0.4250311269015989,0.4250311269015989,0.6944534818385476,combined,MyTwoStepsNetMPL_COM_mesa_n500,mesa,500
8,0.6662946428571429,0.6204323589308122,0.44605579646106736,0.44605579646106736,0.7059294804013009,combined,MyTwoStepsNetMPL_COM_mesa_n500,mesa,500
9,0.6930803571428571,0.6676835567771597,0.4883985481370587,0.4883985481370587,0.6946967003249042,combined,MyTwoStepsNetMPL_COM_mesa_n500,mesa,500
